sku,upc,brand,category,subcategory,size,cost,list_price,status,effective_from
SKU00267,452279329809,Cascade,Apparel,Bottoms,XS,32.29,82.59,Active,2024-01-01 00:00:00
SKU00268,697751564960,Ember,Apparel,Outerwear,XL,22.72,43.83,Active,2024-01-01 00:00:00
SKU00269,641800762136,Gale,Accessories,Belts,M,13.31,28.75,Active,2024-01-01 00:00:00
SKU00270,273773792106,Harbor,Footwear,Sandals,XS,23.19,46.55,Active,2024-01-01 00:00:00
SKU00271,347383818650,Dawn,Footwear,Boots,One-Size,41.0,110.12,Discontinued,2024-01-01 00:00:00
SKU00272,687467164162,Harbor,Apparel,Bottoms,XL,18.35,44.33,Discontinued,2024-01-01 00:00:00
SKU00273,588185936728,Aster,Apparel,Dresses,XS,21.29,56.47,Active,2024-01-01 00:00:00
SKU00274,918407452492,Boreal,Accessories,Belts,L,8.22,14.47,Active,2024-01-01 00:00:00
SKU00275,631244406872,Boreal,Footwear,Boots,XS,24.1,50.32,Active,2024-01-01 00:00:00
SKU00276,705325366774,Ember,Accessories,Belts,M,8.52,22.08,Active,2024-01-01 00:00:00
SKU00277,536755571266,Harbor,Apparel,Dresses,XS,17.75,39.84,Discontinued,2024-01-01 00:00:00
SKU00278,476202066937,Fjord,Footwear,Boots,XL,29.28,54.54,Active,2024-01-01 00:00:00
SKU00279,126679968317,Aster,Apparel,Dresses,One-Size,18.46,31.74,Active,2024-01-01 00:00:00
SKU00280,578146355174,Harbor,Accessories,Belts,L,11.07,26.28,Discontinued,2024-01-01 00:00:00
SKU00281,991922953960,Gale,Apparel,Dresses,XS,24.82,52.93,Active,2024-01-01 00:00:00
SKU00282,117427167921,Cascade,Footwear,Sneakers,XL,31.83,46.15,Active,2024-01-01 00:00:00
SKU00283,240657339892,Gale,Footwear,Sneakers,S,35.29,85.39,Active,2024-01-01 00:00:00
SKU00284,486176466203,Harbor,Footwear,Boots,L,20.24,55.28,Discontinued,2024-01-01 00:00:00
SKU00285,747952797331,Harbor,Accessories,Belts,S,16.17,40.54,Active,2024-01-01 00:00:00
SKU00286,307680619291,Aster,Footwear,Sneakers,One-Size,25.41,54.7,Active,2024-01-01 00:00:00
SKU00287,250462386796,Aster,Footwear,Sandals,XL,23.44,61.4,Active,2024-01-01 00:00:00
SKU00288,333616719637,Gale,Footwear,Sandals,XL,22.22,56.96,Discontinued,2024-01-01 00:00:00
SKU00289,685997903232,Ember,Accessories,Belts,XS,20.83,47.79,Active,2024-01-01 00:00:00
SKU00290,366505925826,Cascade,Apparel,Outerwear,S,20.85,42.67,Active,2024-01-01 00:00:00
SKU00291,869016198295,Fjord,Apparel,Tops,L,20.61,33.52,Active,2024-01-01 00:00:00
SKU00292,820460041565,Ember,Footwear,Boots,XL,27.78,51.63,Active,2024-01-01 00:00:00
SKU00293,767658245667,Dawn,Footwear,Boots,L,28.83,70.96,Active,2024-01-01 00:00:00
SKU00294,473170382075,Aster,Apparel,Bottoms,S,21.46,47.23,Active,2024-01-01 00:00:00
SKU00295,449415129564,Cascade,Footwear,Boots,XL,21.15,42.42,Active,2024-01-01 00:00:00
SKU00296,526798560350,Harbor,Footwear,Boots,One-Size,18.93,48.03,Active,2024-01-01 00:00:00
SKU00297,442789478835,Harbor,Apparel,Outerwear,L,20.51,39.78,Active,2024-01-01 00:00:00
SKU00298,118141229461,Dawn,Accessories,Hats,XS,11.72,21.47,Active,2024-01-01 00:00:00
SKU00299,115693978367,Dawn,Footwear,Sandals,S,21.87,33.57,Active,2024-01-01 00:00:00
SKU00300,214301198491,Aster,Apparel,Dresses,One-Size,19.9,29.05,Active,2024-01-01 00:00:00
SKU00301,916603143438,Dawn,Accessories,Bags,XL,13.89,30.77,Active,2024-01-01 00:00:00
SKU00302,895305513648,Fjord,Accessories,Bags,S,11.51,26.48,Active,2024-01-01 00:00:00
SKU00303,952784766335,Gale,Footwear,Sneakers,XS,27.57,66.84,Active,2024-01-01 00:00:00
SKU00304,790683039441,Gale,Apparel,Dresses,M,13.37,28.55,Active,2024-01-01 00:00:00
SKU00305,845389334207,Dawn,Accessories,Hats,S,19.27,53.53,Discontinued,2024-01-01 00:00:00
SKU00306,204260368397,Cascade,Apparel,Dresses,M,13.85,36.9,Active,2024-01-01 00:00:00
SKU00307,288162829230,Fjord,Apparel,Tops,L,19.13,36.83,Active,2024-01-01 00:00:00
SKU00308,454460880388,Ember,Footwear,Sandals,One-Size,33.04,57.22,Active,2024-01-01 00:00:00
SKU00309,660252001776,Aster,Footwear,Sandals,L,27.53,39.31,Active,2024-01-01 00:00:00
SKU00310,641733022377,Ember,Apparel,Dresses,XS,23.34,44.67,Active,2024-01-01 00:00:00
SKU00311,337879587857,Harbor,Accessories,Hats,One-Size,23.51,60.22,Active,2024-01-01 00:00:00
SKU00312,130156311757,Aster,Footwear,Sneakers,XS,19.86,39.88,Active,2024-01-01 00:00:00
SKU00313,612240755859,Ember,Footwear,Sandals,M,21.61,49.13,Active,2024-01-01 00:00:00
SKU00314,870852408602,Gale,Apparel,Dresses,XL,15.81,39.09,Active,2024-01-01 00:00:00
SKU00315,631576967703,Dawn,Footwear,Sneakers,XS,25.73,65.19,Active,2024-01-01 00:00:00
SKU00316,542482652869,Gale,Accessories,Socks,XS,9.13,21.03,Active,2024-01-01 00:00:00
SKU00317,982294360380,Gale,Footwear,Boots,L,22.08,32.85,Active,2024-01-01 00:00:00
SKU00318,113106520644,Ember,Apparel,Outerwear,L,20.51,30.41,Active,2024-01-01 00:00:00
SKU00319,879636638947,Dawn,Apparel,Bottoms,M,18.17,45.64,Active,2024-01-01 00:00:00
SKU00320,821644528538,Dawn,Accessories,Belts,XL,13.56,20.06,Active,2024-01-01 00:00:00
SKU00321,433160690196,Aster,Accessories,Socks,S,8.77,13.85,Active,2024-01-01 00:00:00
SKU00322,335485957136,Fjord,Accessories,Bags,M,9.39,22.71,Active,2024-01-01 00:00:00
SKU00323,510537541317,Dawn,Apparel,Outerwear,One-Size,17.89,39.02,Active,2024-01-01 00:00:00
SKU00324,290672408494,Cascade,Apparel,Bottoms,S,27.35,70.29,Active,2024-01-01 00:00:00
SKU00325,579160779758,Ember,Accessories,Socks,M,11.47,27.6,Active,2024-01-01 00:00:00
SKU00326,315490395673,Harbor,Footwear,Sandals,S,21.09,34.94,Active,2024-01-01 00:00:00
SKU00327,438755269532,Cascade,Footwear,Boots,XL,24.66,44.41,Active,2024-01-01 00:00:00
SKU00328,882720572052,Boreal,Apparel,Tops,One-Size,20.31,35.12,Active,2024-01-01 00:00:00
SKU00329,439456086757,Harbor,Footwear,Sandals,XS,21.42,37.64,Active,2024-01-01 00:00:00
SKU00330,534947066391,Aster,Footwear,Boots,M,28.29,61.47,Active,2024-01-01 00:00:00
SKU00331,171975864582,Ember,Accessories,Socks,One-Size,9.22,21.15,Active,2024-01-01 00:00:00
SKU00332,636742137917,Fjord,Footwear,Sandals,S,53.2,104.52,Active,2024-01-01 00:00:00
SKU00333,962239564272,Gale,Apparel,Bottoms,One-Size,19.02,45.51,Active,2024-01-01 00:00:00
SKU00334,625397237092,Cascade,Accessories,Hats,S,7.9,17.99,Active,2024-01-01 00:00:00
SKU00335,426221689057,Dawn,Accessories,Hats,One-Size,10.25,18.97,Active,2024-01-01 00:00:00
SKU00336,717853233638,Cascade,Apparel,Dresses,M,21.13,54.95,Active,2024-01-01 00:00:00
SKU00337,983548700878,Gale,Footwear,Boots,L,20.41,35.63,Discontinued,2024-01-01 00:00:00
SKU00338,160425425998,Cascade,Apparel,Tops,One-Size,23.32,36.45,Discontinued,2024-01-01 00:00:00
SKU00339,212153601056,Ember,Apparel,Bottoms,M,14.34,36.52,Active,2024-01-01 00:00:00
SKU00340,709405825655,Fjord,Apparel,Dresses,XS,14.8,30.34,Active,2024-01-01 00:00:00
SKU00341,610411987243,Fjord,Footwear,Sneakers,XS,20.55,47.08,Active,2024-01-01 00:00:00
SKU00342,896038461774,Dawn,Accessories,Hats,L,17.51,38.94,Active,2024-01-01 00:00:00
SKU00343,557642613727,Gale,Footwear,Sneakers,One-Size,25.69,45.56,Active,2024-01-01 00:00:00
SKU00344,117172545780,Cascade,Accessories,Hats,L,6.67,9.99,Active,2024-01-01 00:00:00
SKU00345,476156019147,Harbor,Apparel,Outerwear,L,21.99,60.26,Active,2024-01-01 00:00:00
SKU00346,840093504114,Ember,Footwear,Sneakers,XL,46.67,102.61,Active,2024-01-01 00:00:00
SKU00347,778841227400,Gale,Footwear,Sandals,M,35.52,61.23,Active,2024-01-01 00:00:00
SKU00348,846234961161,Dawn,Apparel,Dresses,M,24.11,64.96,Active,2024-01-01 00:00:00
SKU00349,822653449728,Cascade,Accessories,Bags,XS,11.12,18.05,Active,2024-01-01 00:00:00
SKU00350,147048298521,Boreal,Footwear,Sandals,XS,24.41,53.2,Active,2024-01-01 00:00:00
SKU00351,655713177073,Dawn,Footwear,Sneakers,L,20.29,52.83,Active,2024-01-01 00:00:00
SKU00352,631813736461,Gale,Footwear,Boots,XL,23.46,37.11,Active,2024-01-01 00:00:00
SKU00353,543168111860,Ember,Accessories,Hats,S,28.84,76.16,Discontinued,2024-01-01 00:00:00
SKU00354,101402680355,Aster,Apparel,Dresses,S,16.32,27.28,Active,2024-01-01 00:00:00
SKU00355,135100400628,Boreal,Apparel,Tops,M,17.98,41.61,Active,2024-01-01 00:00:00
SKU00356,331527938773,Boreal,Accessories,Hats,XL,6.76,12.98,Active,2024-01-01 00:00:00
SKU00357,280995848611,Fjord,Apparel,Tops,XS,14.08,23.0,Active,2024-01-01 00:00:00
SKU00358,754833331931,Harbor,Footwear,Sneakers,L,20.44,36.52,Active,2024-01-01 00:00:00
SKU00359,550955999400,Harbor,Accessories,Bags,L,12.22,26.27,Active,2024-01-01 00:00:00
SKU00360,267513855804,Aster,Footwear,Boots,XS,35.66,93.89,Active,2024-01-01 00:00:00
SKU00361,680112874851,Gale,Apparel,Outerwear,One-Size,22.51,44.18,Active,2024-01-01 00:00:00
SKU00362,193312956988,Fjord,Accessories,Hats,One-Size,17.84,26.77,Active,2024-01-01 00:00:00
SKU00363,219350201086,Ember,Footwear,Boots,XS,19.67,45.39,Active,2024-01-01 00:00:00
SKU00364,943225665144,Boreal,Footwear,Sandals,M,20.03,45.23,Active,2024-01-01 00:00:00
SKU00365,352475433872,Dawn,Accessories,Belts,XS,9.96,26.67,Active,2024-01-01 00:00:00
SKU00366,728990506397,Dawn,Accessories,Hats,S,12.66,33.09,Active,2024-01-01 00:00:00
SKU00367,352581549206,Fjord,Apparel,Bottoms,M,23.63,50.59,Active,2024-01-01 00:00:00
SKU00368,836023526645,Gale,Apparel,Tops,XL,14.01,19.96,Active,2024-01-01 00:00:00
SKU00369,505923273316,Dawn,Apparel,Outerwear,XS,27.28,42.23,Active,2024-01-01 00:00:00
SKU00370,993481536663,Boreal,Footwear,Sneakers,XL,19.59,45.25,Discontinued,2024-01-01 00:00:00
SKU00371,136593578504,Dawn,Footwear,Boots,L,23.22,48.42,Active,2024-01-01 00:00:00
SKU00372,420381894613,Ember,Accessories,Belts,XS,8.73,19.15,Active,2024-01-01 00:00:00
SKU00373,400158064600,Fjord,Footwear,Sneakers,XL,43.52,110.45,Discontinued,2024-01-01 00:00:00
SKU00374,726593624025,Aster,Apparel,Dresses,S,17.57,34.49,Active,2024-01-01 00:00:00
SKU00375,212346959185,Gale,Footwear,Boots,XL,23.14,33.62,Discontinued,2024-01-01 00:00:00
SKU00376,862140840761,Harbor,Apparel,Tops,L,22.09,37.84,Active,2024-01-01 00:00:00
SKU00377,307143642359,Dawn,Footwear,Boots,L,24.12,39.6,Active,2024-01-01 00:00:00
SKU00378,488780010199,Aster,Accessories,Bags,XL,16.37,38.51,Active,2024-01-01 00:00:00
SKU00379,931435859748,Aster,Footwear,Boots,XL,19.61,36.36,Active,2024-01-01 00:00:00
SKU00380,428952958908,Harbor,Footwear,Sneakers,M,21.56,47.16,Discontinued,2024-01-01 00:00:00
SKU00381,639895669536,Dawn,Accessories,Hats,One-Size,29.5,81.55,Active,2024-01-01 00:00:00
SKU00382,321004157980,Aster,Accessories,Socks,S,8.38,19.75,Active,2024-01-01 00:00:00
SKU00383,815184187230,Dawn,Footwear,Sneakers,S,21.74,37.66,Active,2024-01-01 00:00:00
SKU00384,213166407231,Boreal,Accessories,Belts,XS,6.97,16.39,Active,2024-01-01 00:00:00
SKU00385,429508403043,Cascade,Footwear,Sneakers,XS,24.15,57.12,Active,2024-01-01 00:00:00
SKU00386,826313741110,Fjord,Footwear,Sandals,L,24.27,42.93,Active,2024-01-01 00:00:00
SKU00387,961022068666,Dawn,Apparel,Dresses,L,19.03,38.08,Active,2024-01-01 00:00:00
SKU00388,256137608758,Boreal,Accessories,Belts,XS,18.08,37.93,Active,2024-01-01 00:00:00
SKU00389,106861853552,Boreal,Footwear,Sneakers,L,26.23,51.94,Active,2024-01-01 00:00:00
SKU00390,237945995200,Cascade,Accessories,Bags,M,20.94,38.26,Active,2024-01-01 00:00:00
SKU00391,533880047848,Fjord,Footwear,Sneakers,S,20.67,57.23,Active,2024-01-01 00:00:00
SKU00392,982059549813,Cascade,Apparel,Dresses,XL,28.95,45.36,Active,2024-01-01 00:00:00
SKU00393,385213097981,Harbor,Accessories,Socks,XS,7.6,14.38,Active,2024-01-01 00:00:00
SKU00394,695264420862,Fjord,Accessories,Belts,One-Size,10.9,23.76,Discontinued,2024-01-01 00:00:00
SKU00395,759937982843,Gale,Accessories,Socks,XS,14.64,26.26,Active,2024-01-01 00:00:00
SKU00396,356654460807,Ember,Accessories,Hats,One-Size,6.08,15.54,Active,2024-01-01 00:00:00
SKU00397,480077935307,Cascade,Accessories,Belts,S,24.95,66.5,Active,2024-01-01 00:00:00
SKU00398,167813325950,Aster,Accessories,Socks,S,31.97,85.14,Active,2024-01-01 00:00:00
SKU00399,294068748325,Fjord,Footwear,Boots,M,25.01,38.17,Active,2024-01-01 00:00:00
SKU00400,652751858097,Fjord,Apparel,Bottoms,M,16.59,33.96,Active,2024-01-01 00:00:00
